txtDescricaoModalidade,codEmpresa,codTipoContratacao,valReajustes,codProcesso,codModalidade,datVigencia,datAssinaturaContrato,valAditamentos,codContrato,valLiquidado,codOrgao,valPago,valAnulacao,valEmpenhadoLiquido,valTotalEmpenhado,anoContrato,numOriginalContrato,txtDescricaoOrgao,valAnuladoEmpenho,datPublicacaoContrato,txtRazaoSocial,valPrincipal,txtTipoContratacao,txtObjetoContrato,coletado
Pregão,1.0,30,0.0,6046202000063670,12,01/01/2023,,0.0,1,179068.85,65.0,179068.65,0.0,1111461.84,2197085.88,2021,,Subprefeitura Mooca,1085624.04,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,1111461.84,Nota de Empenho para Fornecimento de Serviços,"Ata RP nº 15/SMSUB/COGEL/2019 - contratação da prestação de serviços de limpeza manual de galerias, córregos e canais, por meio de 02 (duas) equipes/mês, pelo período de 06 (seis) meses, a partir de 01/01/2021",07/03/21
Dispensa de Licitação,4.0,5,0.0,6210202000121158,6,17/01/2022,,0.0,1,4653.37,2.0,4653.37,0.0,4653.37,4653.37,2021,,Hospital do Servidor Público Municipal,0.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,4653.37,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,"ALFATIROTROPINA 1,1 MG PÓ LIÓFILO PARA SOLUÇÃO INJETÁVEL",07/03/21
Dispensa de Licitação,5.0,30,0.0,6310202000036855,6,01/05/2021,,0.0,1,1100.0,3.0,0.0,0.0,1100.0,1100.0,2021,,Instituto de Previdência Municipal de São Paulo,0.0,,INSTITUTO DE PREVIDÊNCIA MUNICIPAL DE SÃO PAULO,1100.0,Nota de Empenho para Fornecimento de Serviços,"Contratação de 3 (três) imobiliárias idôneas, com registro no CRECI, para a realização da avaliação do  imóvel localizado na Rua Paraguai, n.º 70, Guarujá, SP.",07/03/21
Não Aplicável,6.0,5,0.0,6410202000119169,8,30/12/2021,,0.0,1,57.2,4.0,57.2,0.0,12500.0,12500.0,2021,,Serviço Funerário do Município de São Paulo,0.0,,SERVIÇO FUNERÁRIO DO MUNICÍPIO DE SÃO PAULO,45000.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,"A fim de atender as despesas com pagamento de Multas de Trânsito, por infrações de responsabilidade da Autarquia.",07/03/21
Dispensa de Licitação,15.0,30,0.0,8310202000030097,6,03/02/2024,,0.0,1,317.0,81.0,0.0,0.0,317.0,317.0,2021,,Autoridade Municipal de Limpeza Urbana/Fundo Municipal Limpeza Urbana,0.0,,Autoridade Municipal de Limpeza Urbana/FMLU,317.0,Nota de Empenho para Fornecimento de Serviços,"Emissão de Certificado Digital do tipo Pessoa Jurídica (PJ), do tipo A3, com validade de 3 (três) anos,  (com dispositivo criptográfico – mídia do tipo token), opcionalmente serviços de validação “on site”",07/03/21
Dispensa de Licitação,16.0,30,0.0,8110202000009074,6,31/12/2021,,0.0,1,17946.22,80.0,0.0,0.0,250000.0,250000.0,2021,,Fundação Paulistana de Educação Tecnologia e Cultura,0.0,,FUNDAÇÃO PAULISTANA DE EDUCAÇÃO E TECNOLOGIA,250000.0,Nota de Empenho para Fornecimento de Serviços,(Escola - CFCCT) - de 01/01/2021 a 31/12/2021 - (P) - Para fazer frente às despesas de fornecimento de energia elétrica em 2021,07/03/21
Dispensa de Licitação,18.0,2,0.0,20200247,6,28/12/2021,28/12/2020,0.0,1,343985.17,9.0,343985.17,0.0,5501097.7,8056520.48,2021,35/2020,Câmara Municipal de São Paulo,2555422.78,,CÂMARA MUNICIPAL,8083245.6,Termo de Contrato - Serviços,prestação de serviços para operacionalização do Programa de Estágio de Estudantes de nível médio e superior da CMSP.,07/03/21
Dispensa de Licitação,19.0,30,0.0,115842020,6,30/12/2021,,0.0,1,47070.83,10.0,47070.83,0.0,972474.0,972474.0,2021,,Tribunal de Contas do Município de São Paulo,0.0,,TRIBUNAL DE CONTAS DO MUNICÍPIO DE SÃO PAULO,972474.0,Nota de Empenho para Fornecimento de Serviços,"Fornecimento de energia elétrica a este TCMSP edifício sede, anexos I, II, III e Escola de Contas, durante o exercício de 2021",07/03/21
Inexigibilidade,23.0,30,0.0,148282020,7,24/02/2022,,0.0,1,11220.0,77.0,11220.0,0.0,11220.0,11220.0,2021,042001011911407714,Fundo Especial de Despesas do Tribunal de Contas ,0.0,,FUNDO ESPECIAL DE DESPESAS DO TCMSP,11220.0,Nota de Empenho para Fornecimento de Serviços,"Renovação da assinatura para acesso aos bancos de dados: Zênite Fácil e Web Regime de Pessoal.
",07/03/21
Não Aplicável,29.0,6,0.0,7210202000017507,8,10/05/2021,07/01/2021,0.0,1,14350.0,6.0,1550.0,0.0,14350.0,14350.0,2021,CCO0001/2021,São Paulo Turismo,0.0,,SÃO PAULO TURISMO,14350.0,Ordem de Compra,Aquisição de água mineral com fornecimento parcelado pelo período de 4 meses,07/03/21
Não Aplicável,30.0,2,0.0,7810201800006350,8,19/01/2023,19/01/2021,0.0,1,0.0,5.0,0.0,0.0,29500.0,29500.0,2021,7810.2018/0000635-0,São Paulo Urbanismo,0.0,22/01/2021,SÃO PAULO URBANISMO,59000.0,Termo de Contrato - Serviços,"Contratação de empresa especializada na prestação de serviços de monitoramento e gerenciamento local de imagens por fotografias e
vídeos, incluída a instalação, manutenção preventiva e corretiva dos equipamentos na modalidade de comodato, para os terrenos de propriedade da SÃO PAULO URBANISMO - SPUrbanismo, descritos abaixo e detalhados no Anexo I - Termo de Referência.",07/03/21
Não Aplicável,83.0,30,0.0,7610202000029798,8,30/12/2021,,0.0,1,3509.15,83.0,3509.15,0.0,42600.65,42600.65,2021,,Companhia Metropolitana de Habitação de São Paulo,0.0,,COMPANHIA METROPOLITANA DE HABITAÇÃO DE SÃO PAULO,42600.65,Nota de Empenho para Fornecimento de Serviços,Para pagamento mensalidade  Associação Brasileira de COHAB´s.,07/03/21
Inexigibilidade,85.0,2,0.0,8510202000004212,7,29/06/2021,,0.0,1,6580.0,85.0,3290.0,0.0,19740.0,19740.0,2021,,Fundação Theatro Municipal de São Paulo,0.0,,FUNDAÇÃO THEATRO MUNICIPAL DE SÃO PAULO,19740.0,Termo de Contrato - Serviços,"Contratação de serviços profissionais de natureza artística para a função de Oficineiro de Prática de Dança Contemporânea junto a Escola de Dança de São Paulo, pelo período de 01 de janeiro a 30 de junho de 2021.",07/03/21
Não Aplicável,91.0,30,0.0,7610202100000392,8,30/12/2021,,0.0,1,2574.22,91.0,2574.22,0.0,400000.0,400000.0,2021,,Fundo Municipal de Habitação,0.0,,Fundo Municipal de Habitação - COHAB,400000.0,Nota de Empenho para Fornecimento de Serviços,PAGAMENTO DE DESPESAS PROCESSUAIS - EXERCÍCIO 2021,07/03/21
Pregão,1.0,30,0.0,6046202000063769,12,01/01/2023,,0.0,2,208363.78,65.0,0.0,0.0,1293292.44,1293292.44,2021,,Subprefeitura Mooca,0.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,1293292.44,Nota de Empenho para Fornecimento de Serviços,"Ata de Registro de Preços nº 06/SMSUB/COGEL/2019 -  contratação dos serviços de manutenção e conservação de galerias e demais dispositivos de drenagem, através de 02 equipes/mês, pelo período de 06 (seis) meses, a partir de 01/01/2021",07/03/21
Dispensa de Licitação,4.0,5,0.0,6210202000122669,6,18/01/2022,,0.0,2,381.14,2.0,381.14,0.0,381.14,381.14,2021,,Hospital do Servidor Público Municipal,0.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,381.14,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,"Cânula para traqueostomia em PVC, com balão, descartável",07/03/21
Dispensa de Licitação,5.0,30,0.0,6310202000036855,6,26/04/2021,,0.0,2,0.0,3.0,0.0,0.0,1200.0,1200.0,2021,,Instituto de Previdência Municipal de São Paulo,0.0,,INSTITUTO DE PREVIDÊNCIA MUNICIPAL DE SÃO PAULO,1200.0,Nota de Empenho para Fornecimento de Serviços,"Contratação de 3 (três) imobiliárias idôneas, com registro no CRECI, para a realização da avaliação do  imóvel localizado na Rua Paraguai, n.º 70, Guarujá, SP",07/03/21
Pregão,15.0,2,0.0,8310202000012900,12,,,0.0,2,0.0,81.0,0.0,0.0,516691.63,516691.63,2021,,Autoridade Municipal de Limpeza Urbana/Fundo Municipal Limpeza Urbana,0.0,,Autoridade Municipal de Limpeza Urbana/FMLU,516691.63,Termo de Contrato - Serviços,"Prestação de serviços especializados de arquitetura e/ou engenharia para adequação das edificações destinadas às Centrais de Triagem – CTs, em conformidade com projeto técnico e parecer de análise, aprovado pelo Corpo de Bombeiros da Polícia Militar – PMESP, com vistas à obtenção do AVCB – Auto de Vistoria do Corpo de Bombeiros, contemplando o fornecimento de peças, equipamentos, materiais e mão de obra",07/03/21
Inexigibilidade,16.0,30,0.0,8110202000009139,7,31/12/2021,,0.0,2,4076.14,80.0,0.0,0.0,200000.0,200000.0,2021,,Fundação Paulistana de Educação Tecnologia e Cultura,0.0,,FUNDAÇÃO PAULISTANA DE EDUCAÇÃO E TECNOLOGIA,200000.0,Nota de Empenho para Fornecimento de Serviços,(Escola - CFCCT) - de 01/01/21 a 31/12/21 - (P) - Para fazer frente às despesas de fornecimento de água e serviços de esgoto em 2021.,07/03/21
Pregão,18.0,2,0.0,2412020,12,29/12/2021,29/12/2020,0.0,2,0.0,9.0,0.0,0.0,1417935.36,1417935.36,2021,34/2020,Câmara Municipal de São Paulo,0.0,07/01/2021,CÂMARA MUNICIPAL,1421885.04,Termo de Contrato - Serviços,"Serviços de copeiragem, com dedicação exclusiva de mão de obra, incluindo-se o material de consumo necessário à execução dos serviços. PAD-2020/241.",07/03/21
